School/ Coordinates,School,Address,County,Biology,Chemistry,Physics ,Environmental Science ,Engineering ,Latitude,Longitude,Accuracy
"Metamora Township High School 
101 W Madison St
Metamora, IL, 61548",Metamora Township High School,"101 W Madison St Metamora, IL, 61548",Woodford,3,3,3,N/A,N/A,40.79512,-89.36367,9
"Henry Senachwine High School 
1023 College Avenue
Henry, IL 61537",Henry Senachwine High School,"1023 College Avenue Henry, IL 61537",Marshall,1,1,2,1,N/A,41.11690,-89.36825,9
"Monmouth High School 
105 North E Street
Monmouth, IL 61462",Monmouth High School,"105 North E Street Monmouth, IL 61462",Warren,2,3,3,N/A,N/A,40.91220,-90.65457,8
"Pontiac Township High School 
1100 E Indiana Ave
Pontiac, IL 61764",Pontiac Township High School,"1100 E Indiana Ave Pontiac, IL 61764",Livingston,3,0,3,3,N/A,40.88789,-88.61648,9
"Clinton High School 
1200 IL-54
Clinton, IL 61727",Clinton High School,"1200 IL-54 Clinton, IL 61727",DeWitt,1,3,3,3,N/A,40.14591,-88.97858,9
"Galena High School 
1206 N. Franklin
Galena, IL 61036",Galena High School,"1206 N. Franklin Galena, IL 61036",Jo Daviess,1,2,3,3,N/A,42.42740,-90.44032,9
"Fullerton High School 
1207 12th Ave.
 Fulton, IL 61252",Fullerton High School,"1207 12th Ave. Fulton, IL 61252",Whiteside,0,0,3,0,N/A,41.86547,-90.15425,8
"Willowbrook High School 
1250 S. Ardmore Avenue
Villa Park, IL 60181",Willowbrook High School,"1250 S. Ardmore Avenue Villa Park, IL 60181",DuPage,3,3,3,3,N/A,41.86379,-87.98218,9
"Illinois Valley Central High School 
1300 W. Sycamore Street
Chillicothe, IL 61523",Illinois Valley Central High School,"1300 W. Sycamore Street Chillicothe, IL 61523",Peoria,3,0,3,3,N/A,40.91281,-89.50309,9
"Carbondale Community High School 
1301 E Walnut St, Carbondale, IL 62901",Carbondale Community High School,"1301 E Walnut St Carbondale, IL 62901",Jackson ,2,3,3,N/A,2,37.72593,-89.18771,9
"Effingham High School
1301 W Grove
Effingham, IL 62401",Effingham High School,"1301 W Grove Effingham, IL 62401",Effingham,1,1,1,1,N/A,39.11689,-88.55853,8
"Mascoutah High School Mascoutah CUSD #19
1313 W Main St
Mascoutah, IL ",Mascoutah High School Mascoutah CUSD #19,"1313 W Main St Mascoutah, IL ",St. Clair,3,3,3,2,N/A,38.49582,-89.81931,9
"Quincy Notre Dame High School 
 1400 S 11th St
Quincy, IL 62301",Quincy Notre Dame High School,"1400 S 11th St Quincy, IL 62301",Adams,3,3,3,3,N/A,39.91447,-91.39920,9
"East Peoria Community High School 
1401 E. Washington St
East Peoria IL 61611",East Peoria Community High School,1401 E. Washington St East Peoria IL 61611,Tazewell,3,3,3,3,N/A,40.67068,-89.55787,9
"Rochelle Township High School 
1401 Flagg Road
Rochelle, IL 61068",Rochelle Township High School,"1401 Flagg Road Rochelle, IL 61068",Ogle,1,3,3,3,1,41.94206,-89.07726,9
"Carlyle High School 
1461 Twelfth St
Carlyle, IL 62231",Carlyle High School,"1461 Twelfth St Carlyle, IL 62231",Clinton,3,2,3,3,N/A,38.61942,-89.37387,9
"Johnston City High School
1500 Jefferson Ave
Johnston City, IL 62951",Johnston City High School,"1500 Jefferson Ave Johnston City, IL 62951",Williamson,3,3,2,2,,37.82650,-88.92482,9
"Oswego East High School 
1525 HARVEY ROAD
Oswego, IL ",Oswego East High School,"1525 HARVEY ROAD Oswego, IL ",Kendall,3,1,3,N/A,N/A,41.69956,-88.28066,9
,Crystal Lake Central High School,"45 W Franklin St, Crystal Lake, IL 60014",McHenry,0,0,1,1,0,42.23711,-88.32251,10
"Hampshire High School 
1600 Big Timber Rd. 
Hampshire, IL 60140",Hampshire High School,"1600 Big Timber Rd.  Hampshire, IL 60140",Kane,2,1,1,1,1,42.12233,-88.49857,9
"Charleston High School 
1615 Lincoln Ave 
Charleston, IL 61920",Charleston High School,"1615 Lincoln Ave  Charleston, IL 61920",Coles,3,3,3,3,N/A,39.48530,-88.16451,9
"Peoria High School 
1615 N. North Street
Peoria, IL 61604",Peoria High School,"1615 N. North Street Peoria, IL 61604",Peoria,3,3,3,3,3,40.70730,-89.59937,9
"Bismarck-Henning High School 
17268 E 2750 North Rd
Bismarck, IL 61814",Bismarck-Henning High School,"17268 E 2750 North Rd Bismarck, IL 61814",Vermilion,1,3,3,3,N/A,40.26370,-87.62006,8
"Porta Junior High School 
17651 Bluejay Rd
Petersburg, IL 62675",Porta Junior High School,"17651 Bluejay Rd Petersburg, IL 62675",Menard,3,3,3,0,N/A,40.01313,-89.86176,9
"Metea Valley High School 
1801 N Eola Rd
Aurora, IL 60502",Metea Valley High School,"1801 N Eola Rd Aurora, IL 60502",Kane,2,3,3,N/A,3,41.79114,-88.23942,9
"Midland High School 
1830 IL-17
Varna, IL 61375",Midland High School,"1830 IL-17 Varna, IL 61375",Marshall,1,1,3,3,N/A,41.02705,-89.27779,8
"West Prairie High School 
18575 E 800th St
Sciota, IL 61475",West Prairie High School,"18575 E 800th St Sciota, IL 61475",McDonough,0,3,3,0,N/A,40.55283,-90.75051,9
"Lincoln Park High School 
2001 North Orchard Street
Chicago, IL 60614",Lincoln Park High School,"2001 North Orchard Street Chicago, IL 60614",Cook,2,3,3,1,N/A,41.91841,-87.64585,9
"Mt. Carmel High School
201 Pear Street 
Mt. Carmel, IL 62863",Mt. Carmel High School,"201 Pear Street  Mt. Carmel, IL 62863",Wabash,0,0,1,0,N/A,38.40878,-87.75476,8
